Category: All categories

Week,Grubhub: (United States),Postmates: (United States),Uber Eats: (United States),DoorDash: (United States)
2019-07-21,23,17,26,45
2019-07-28,23,17,27,48
2019-08-04,21,14,24,41
2019-08-11,21,16,24,41
2019-08-18,22,15,24,42
2019-08-25,22,16,24,40
2019-09-01,21,13,22,40
2019-09-08,22,14,22,40
2019-09-15,21,16,23,40
2019-09-22,22,15,22,46
2019-09-29,23,15,23,45
2019-10-06,23,15,21,43
2019-10-13,23,16,23,42
2019-10-20,24,16,22,42
2019-10-27,28,14,23,46
2019-11-03,26,14,24,43
2019-11-10,26,14,23,42
2019-11-17,25,14,23,42
2019-11-24,23,12,21,36
2019-12-01,24,14,21,40
2019-12-08,25,13,23,41
2019-12-15,25,13,24,39
2019-12-22,23,11,22,38
2019-12-29,28,14,24,46
2020-01-05,26,14,21,44
2020-01-12,25,13,22,42
2020-01-19,25,16,22,44
2020-01-26,25,15,22,43
2020-02-02,26,15,21,43
2020-02-09,27,14,23,43
2020-02-16,25,13,21,41
2020-02-23,27,13,21,44
2020-03-01,27,14,20,41
2020-03-08,24,13,20,38
2020-03-15,36,20,35,59
2020-03-22,39,19,38,70
2020-03-29,41,19,35,69
2020-04-05,41,19,32,65
2020-04-12,43,17,34,86
2020-04-19,40,18,31,74
2020-04-26,39,16,30,71
2020-05-03,38,17,31,71
2020-05-10,45,16,29,69
2020-05-17,35,16,27,62
2020-05-24,32,16,26,58
2020-05-31,29,13,26,54
2020-06-07,31,15,27,56
2020-06-14,30,15,26,55
2020-06-21,30,15,28,58
2020-06-28,32,16,28,56
2020-07-05,31,20,28,58
2020-07-12,29,16,26,65
2020-07-19,29,15,27,65
2020-07-26,30,15,29,63
2020-08-02,30,14,28,71
2020-08-09,29,15,25,65
2020-08-16,29,14,24,68
2020-08-23,26,12,22,62
2020-08-30,27,12,23,63
2020-09-06,26,12,24,60
2020-09-13,26,12,26,64
2020-09-20,25,13,31,63
2020-09-27,25,12,29,64
2020-10-04,23,12,28,57
2020-10-11,25,11,32,61
2020-10-18,25,12,31,62
2020-10-25,25,13,29,64
2020-11-01,20,10,25,54
2020-11-08,25,12,30,64
2020-11-15,26,14,32,70
2020-11-22,23,11,27,70
2020-11-29,27,15,30,68
2020-12-06,28,13,31,100
2020-12-13,29,13,34,77
2020-12-20,27,10,29,69
2020-12-27,29,12,27,76
2021-01-03,28,13,27,78
2021-01-10,28,11,25,75
