,,U.S. Census Bureau
,,Source: Monthly Retail Trade and Food Services
,,44511: Supermarkets and Other Grocery (Except Convenience) Stores: U.S. Total
,,Not Seasonally Adjusted Sales - Monthly Percent Change [Percent]
,,Period: 2017 to 2021
,,"Data Extracted on: January 21, 2021 (2:59 pm)"
,,
Period,Value,
Jan-2017,-7,
Feb-2017,-6.5,
Mar-2017,10.4,
Apr-2017,-1.6,
May-2017,3.8,
Jun-2017,-2.7,
Jul-2017,1.8,
Aug-2017,-0.1,
Sep-2017,-1.8,
Oct-2017,0.8,
Nov-2017,1.9,
Dec-2017,6.9,
Jan-2018,-7.3,
Feb-2018,-7.5,
Mar-2018,12.4,
Apr-2018,-6.9,
May-2018,8.1,
Jun-2018,-3.2,
Jul-2018,1.1,
Aug-2018,0.5,
Sep-2018,-3.6,
Oct-2018,2,
Nov-2018,1.2,
Dec-2018,4.8,
Jan-2019,-3.1,
Feb-2019,-10.7,
Mar-2019,11.3,
Apr-2019,-2.3,
May-2019,6.2,
Jun-2019,-3.3,
Jul-2019,2.8,
Aug-2019,0.8,
Sep-2019,-6.5,
Oct-2019,3.8,
Nov-2019,2,
Dec-2019,2.9,
Jan-2020,-3.5,
Feb-2020,-5.1,
Mar-2020,33.9,
Apr-2020,-12.9,
May-2020,5.7,
Jun-2020,-6.8,
Jul-2020,4.5,
Aug-2020,-3.7,
Sep-2020,-3.6,
Oct-2020,3.3,
Nov-2020,0.1,
Dec-2020,NA,
Jan-2021,NA,
Feb-2021,NA,
Mar-2021,NA,
Apr-2021,NA,
May-2021,NA,
Jun-2021,NA,
Jul-2021,NA,
Aug-2021,NA,
Sep-2021,NA,
Oct-2021,NA,
Nov-2021,NA,
Dec-2021,NA,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
